,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP40M,AST/TO,RK,YEAR
20,"Bryant Crawford, G",WAKE,4,27.0,27,6.8,7,1.8,10.0,3.86,21,2017
21,"Dejon Jarreau, G",UMASS,3,27.0,20,6.7,8,2.7,9.9,2.50,22,2017
22,"Daniel Fowler, G",FUR,4,30.3,26,6.5,5,1.3,8.6,5.20,23,2017
23,"Joseph Chartouny, G",FOR,4,28.8,26,6.5,11,2.8,9.0,2.36,24,2017
24,"Denzel Ingram, G",UNCW,2,28.0,13,6.5,3,1.5,9.3,4.33,25,2017
25,"Anthony Dallier, G",YALE,2,38.5,13,6.5,2,1.0,6.8,6.50,26,2017
26,"Jordan Strawberry, G",MER,2,22.5,13,6.5,5,2.5,11.6,2.60,27,2017
27,"Jalin Hart, G",IW,2,27.0,13,6.5,1,0.5,9.6,13.00,28,2017
28,"Shane Rector, G",USU,3,28.3,19,6.3,4,1.3,8.9,4.75,29,2017
29,"Jonathan Stark, G",MURR,3,34.7,19,6.3,12,4.0,7.3,1.58,30,2017
30,"Luke Eddy, G",ELON,3,29.0,19,6.3,11,3.7,8.7,1.73,31,2017
31,"Everett Clemons, G",INST,3,31.7,19,6.3,3,1.0,8.0,6.33,32,2017
32,"Jawun Evans, G",OKST,3,25.3,19,6.3,6,2.0,10.0,3.17,33,2017
