,RK,PLAYER,TEAM,GP,PPG,FTM,FTA,total_FTM,total_FTA,FT%
509,30,"Mike Monserez, G-F",BUT,30,11.7,3.6,4.2,108,125,0.864
510,31,"Nate Williams, F-C",GAST,22,14.7,3.7,4.3,82,95,0.863
511,32,"Michel Morandais, G-F",COLO,28,16.1,3.6,4.1,100,116,0.862
512,33,"Justin DeBerry, G",LAF,28,14.8,3.5,4.1,99,115,0.861
513,34,"Robert Hite, G",MIA,30,15.2,2.3,2.6,68,79,0.861
514,35,"Larry O'Bannon, G-F",LOU,29,10.5,2.8,3.2,80,93,0.86
515,36,"Nate Johnson, G",NEB,27,13.1,3.4,3.9,91,106,0.858
516,37,"Todd Okeson, G",NEV,31,10.8,2.9,3.4,90,105,0.857
517,38,"Jeff Horner, G",IOWA,28,12.9,3.2,3.8,90,105,0.857
518,39,"Tevoris Thompson, G",ARST,28,11.0,2.6,3.0,72,84,0.857
519,40,"Blake Stepp, G",GONZ,28,14.9,2.5,3.0,71,83,0.855
520,41,"Miah Davis, G",PAC,30,14.7,4.5,5.3,136,159,0.855
521,42,"Jason Erickson, G",MTST,27,17.3,3.0,3.6,82,96,0.854
522,43,"Nate Robinson, G",WASH,30,12.7,2.7,3.1,80,94,0.851
523,44,"Tee Trotter, G",UMES,28,19.3,4.9,5.7,136,160,0.85
524,45,"Jimmy McKinney, G",MIZ,29,9.7,2.7,3.2,79,93,0.849
525,46,"Calvin Cage, G",BUFF,28,8.2,2.2,2.6,62,73,0.849
526,47,"Anthony Roberson, G",FLA,29,17.8,2.5,3.0,73,86,0.849
527,48,"Joe Dawson, G",SAC,28,14.4,5.0,5.9,140,165,0.848
528,49,"Gary Neal, G",LAS,28,17.9,4.0,4.7,111,131,0.847
529,50,"Craig Lewis, F",MORE,29,6.2,2.4,2.9,71,84,0.845
530,51,"Matt Preston, F",CLMB,27,15.3,3.6,4.3,98,116,0.845
531,52,"Shantay Legans, G",FRES,29,15.0,3.0,3.6,87,103,0.845
532,53,"Isaiah Hunter, G",ODU,29,13.0,2.6,3.1,76,90,0.844
533,54,"Ken Tutt, G",ORU,28,20.7,3.3,3.9,92,109,0.844
534,55,"Gerald Riley, F",GTWN,28,17.0,4.4,5.3,124,147,0.844
535,56,"Jason McKrieth, G",RICE,32,16.1,4.0,4.8,129,153,0.843
536,57,"Chris Paul, G",WAKE,28,14.2,4.4,5.2,123,146,0.842
537,58,"Jay Joseph, G-F",UNCG,28,17.0,2.6,3.1,73,87,0.839
538,59,"Keydren (Keekee) Clark, G",SPU,29,26.7,6.8,8.1,197,235,0.838
539,60,"Keith Howell, G",UTA,29,10.3,3.4,4.0,98,117,0.838
540,61,"Mike Nardi, G",NOVA,32,10.0,2.4,2.9,77,92,0.837
541,62,"Nick Jacobson, G",UTAH,32,16.8,2.6,3.1,82,98,0.837
542,63,"James Moore, F",NMSU,27,15.4,4.7,5.7,128,153,0.837
543,64,"Brendan Winters, G-F",DAV,29,17.8,4.4,5.3,128,153,0.837
544,65,"Trent Eager, F",JVST,28,13.4,3.3,3.9,92,110,0.836
545,66,"Chris Thomas, G",ND,29,19.4,3.5,4.2,102,122,0.836
546,67,"Ryan Grier, G",NORF,29,12.7,3.3,3.9,95,114,0.833
547,68,"Erik Crawford, G",UNI,30,10.3,2.8,3.4,85,102,0.833
548,69,"Brody Boyd, G",IOWA,28,11.2,2.3,2.8,65,78,0.833
549,70,"Romain Sato, G",XAV,33,16.1,4.2,5.1,139,167,0.832
550,71,"Nucleus Smith, G",TCU,29,8.6,3.4,4.1,99,119,0.832
551,72,"Mike Ames, G",DEL,28,15.3,3.0,3.6,84,101,0.832
552,73,"Ray Trowell, G",CHAT,30,8.7,2.6,3.2,79,95,0.832
553,74,"Doug Underwood, G",YSU,28,12.2,2.6,3.2,74,89,0.831
554,75,"Javin Tindall, G",UNM,28,12.6,2.3,2.8,64,77,0.831
555,76,"Jason Baker, G",SUU,28,10.7,2.1,2.5,59,71,0.831
556,77,"Julius Hodge, G-F",NCST,29,18.6,5.3,6.4,154,186,0.828
557,78,"Matt McCollom, G",BALL,29,9.6,4.0,4.8,115,139,0.827
558,79,"Jason Wilkins, F",NICH,27,11.1,2.3,2.8,62,75,0.827
559,80,"Brandon Freeman, G",UALR,29,13.5,2.6,3.2,76,92,0.826
560,81,"Mike Skrocki, G-F",RICH,33,16.1,3.9,4.7,128,155,0.826
561,82,"Gil Goodrich, G",LAM,29,12.9,3.1,3.8,90,109,0.826
562,83,"Seth Doliboa, F",WRST,28,15.0,3.5,4.3,99,120,0.825
563,84,"Anthony Richardson, F",FSU,31,7.7,2.1,2.6,66,80,0.825
564,85,"Marcus Kinzer, G",TULN,28,10.1,2.2,2.6,61,74,0.824
565,86,"Kendrick Frink, G",COOK,29,7.1,2.1,2.6,61,74,0.824
566,87,"Miles Davis, G",DSU,26,9.2,2.9,3.5,75,91,0.824
567,88,"Tyrone Hayes, F",IDHO,30,13.5,3.9,4.7,117,142,0.824
568,89,"Matt Walsh, F",FLA,30,15.9,3.9,4.7,117,142,0.824
569,90,"Maurice Bailey, G",SHU,27,20.1,5.7,6.9,154,187,0.824
570,91,"Chris Stephens, G",ORST,28,15.8,2.1,2.6,60,73,0.822
571,92,"Josh Fisher, G",SLU,30,11.5,3.5,4.3,106,129,0.822
572,93,"Justin Gray, G",WAKE,28,17.2,3.3,4.0,92,112,0.821
573,94,"Steve Burtt, G",IONA,29,13.5,2.2,2.7,64,78,0.821
574,95,"Steven Smith, F",LAS,30,17.1,3.5,4.3,105,128,0.82
575,96,"Jeff Granger, G",HAMP,30,15.0,4.1,5.0,123,150,0.82
576,97,"Ron Lewis, G",BGSU,31,17.0,6.2,7.5,191,233,0.82
577,98,"Leonard Hopkins, G",UNT,28,14.0,4.0,4.9,113,138,0.819
578,99,"Kevin Bettencourt, G",BUCK,29,14.9,4.2,5.1,122,149,0.819
579,100,"Matt Nelson, C",CSU,24,15.6,4.5,5.5,108,132,0.818
580,101,"Charles Lee, G-F",BUCK,29,10.1,3.1,3.8,90,110,0.818
581,102,"Kevin Martin, G",WCU,27,24.9,7.6,9.3,206,252,0.817
582,103,"Brendon Merritt, G",EWU,29,10.9,3.2,4.0,94,115,0.817
583,104,"Earnest Crumbley, G",FAU,28,14.0,2.1,2.5,58,71,0.817
584,105,"David Lucas, F",ORST,28,17.2,4.0,4.9,111,136,0.816
585,106,"Jerry Johnson, G",RID,31,18.7,3.7,4.5,115,141,0.816
586,107,"Ike Diogu, F-C",ASU,27,22.8,9.0,11.0,243,298,0.815
587,108,"Tommy Gunn, G",MTSU,29,16.0,3.7,4.5,106,130,0.815
588,109,"Amir Abdur-Rahim, G",SELA,29,15.1,3.3,4.1,97,119,0.815
589,110,"Earnest Shelton, G",ALA,27,15.8,3.7,4.6,101,124,0.815
590,111,"Andre Joseph, G",ORE,27,12.3,2.1,2.6,57,70,0.814
591,112,"Steve Moore, G",ASU,27,12.7,3.4,4.2,92,113,0.814
592,113,"Derrick Williams, G",BSC,27,11.1,2.7,3.4,74,91,0.813
593,114,"Chris McCray, G",MD,30,10.8,2.9,3.6,87,107,0.813
594,115,"Laurie Bridges, G",ULL,28,10.3,2.3,2.9,65,80,0.813
595,116,"Tim Ellis, G",KSU,28,13.8,2.5,3.0,69,85,0.812
596,117,"J.S. Nash, G",ORST,28,10.5,3.1,3.8,86,106,0.811
597,118,"Jonathan Sanders, G",SMC,31,6.4,2.1,2.5,64,79,0.81
598,119,"Jonathan Bluitt, G",ORU,27,10.0,3.0,3.7,81,100,0.81
599,120,"Juan Mendez, F",NIAG,30,20.3,7.1,8.8,213,263,0.81
600,1,"Blake Ahearn, G",MOST,33,10.5,3.5,3.6,117,120,0.975
601,2,"J.J. Redick, G",DUKE,32,15.9,4.1,4.3,130,136,0.956
602,3,"Steve Drabyn, G",BEL,29,13.6,3.3,3.6,96,105,0.914
603,4,"Chris Hernandez, G",STAN,28,10.1,3.4,3.8,96,105,0.914
604,5,"David Doubley, G",PAC,30,8.1,2.4,2.6,71,78,0.91
605,6,"Scooter McFadgon, G",TENN,27,17.9,4.8,5.3,129,142,0.908
606,7,"Raymond Anthony, G",LAM,29,15.5,2.4,2.6,69,76,0.908
607,8,"Terry Williams, G",GASO,29,12.1,2.8,3.1,81,90,0.9
608,9,"Delonte West, G",JOES,28,18.8,4.0,4.5,112,126,0.889
609,10,"Gerry McNamara, G",SYR,28,16.2,3.4,3.9,96,108,0.889
610,11,"Ilian Evtimov, F-C",NCST,29,9.3,2.4,2.8,71,80,0.888
611,12,"Leon Pattman, G",DART,26,13.2,2.7,3.0,70,79,0.886
612,13,"Travis Diener, G",MARQ,28,19.0,4.4,5.0,124,140,0.886
613,14,"John Lucas III, G",OKST,30,15.4,2.6,2.9,77,87,0.885
614,15,"Anthony Winchester, G",WKU,28,14.1,2.6,2.9,72,82,0.878
615,16,"Royce Parran, G",CHS,32,8.4,2.5,2.8,79,90,0.878
616,17,"Cardell Butler, G",USU,28,14.0,2.3,2.6,64,73,0.877
617,18,"Lester Abram, G-F",MICH,28,13.4,3.9,4.4,108,124,0.871
618,19,"Luke Jackson, F",ORE,27,21.1,5.2,6.0,141,162,0.87
619,20,"Terrence Woods, G",FAMU,29,20.1,3.4,4.0,100,115,0.87
620,21,"Luis Flores, G",MAN,29,24.1,6.9,7.9,199,229,0.869
621,22,"Ryan Gomes, F",PROV,28,18.6,4.7,5.4,132,152,0.868
622,23,"Pooh Jeter, G",PORT,28,16.6,3.3,3.8,92,106,0.868
623,24,"Trey Guidry, G",ILST,29,15.2,2.5,2.9,72,83,0.867
624,25,"Jakob Sigurdarson, G",BSC,27,14.7,3.1,3.6,84,97,0.866
625,26,"Sergio Sanchez, G",TRGV,28,12.9,3.0,3.5,84,97,0.866
626,27,"Kenneth Lowe, G",PUR,27,13.6,4.3,5.0,116,134,0.866
627,28,"Paul Marigney, G",SMC,31,16.0,3.3,3.8,103,119,0.866
628,29,"Michael Watson, G",UMKC,29,23.4,4.6,5.3,134,155,0.865
629,30,"Mike Monserez, G-F",BUT,30,11.7,3.6,4.2,108,125,0.864
630,31,"Nate Williams, F-C",GAST,22,14.7,3.7,4.3,82,95,0.863
631,32,"Michel Morandais, G-F",COLO,28,16.1,3.6,4.1,100,116,0.862
632,33,"Justin DeBerry, G",LAF,28,14.8,3.5,4.1,99,115,0.861
633,34,"Robert Hite, G",MIA,30,15.2,2.3,2.6,68,79,0.861
634,35,"Larry O'Bannon, G-F",LOU,29,10.5,2.8,3.2,80,93,0.86
635,36,"Nate Johnson, G",NEB,27,13.1,3.4,3.9,91,106,0.858
636,37,"Todd Okeson, G",NEV,31,10.8,2.9,3.4,90,105,0.857
637,38,"Jeff Horner, G",IOWA,28,12.9,3.2,3.8,90,105,0.857
638,39,"Tevoris Thompson, G",ARST,28,11.0,2.6,3.0,72,84,0.857
639,40,"Blake Stepp, G",GONZ,28,14.9,2.5,3.0,71,83,0.855
640,41,"Blake Ahearn, G",MOST,33,10.5,3.5,3.6,117,120,0.975
641,42,"J.J. Redick, G",DUKE,32,15.9,4.1,4.3,130,136,0.956
642,43,"Steve Drabyn, G",BEL,29,13.6,3.3,3.6,96,105,0.914
643,44,"Chris Hernandez, G",STAN,28,10.1,3.4,3.8,96,105,0.914
644,45,"David Doubley, G",PAC,30,8.1,2.4,2.6,71,78,0.91
645,46,"Scooter McFadgon, G",TENN,27,17.9,4.8,5.3,129,142,0.908
