,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,RK,YEAR
63,"John Lucas III, G",OKST,30,35.9,18.1,6.4-13.8,.460,3.1-7.2,.437,2.2-2.5,.892,64,2005
64,"Vincent Grier, G-F",MINN,31,35.9,18.1,6.2-13.0,.478,0.4-1.6,.260,5.2-7.0,.742,65,2005
65,"Chad Maclies, F",CENT,27,35.9,18.0,6.1-11.8,.517,0.5-1.1,.448,5.3-7.0,.766,66,2005
66,"Jay Straight, G",WYO,28,39.6,18.0,6.0-14.8,.404,2.1-5.8,.358,4.0-5.4,.753,67,2005
67,"Pat Carroll, G-F",JOES,29,34.4,18.0,6.0-13.6,.442,4.0-8.8,.453,2.0-2.9,.702,68,2005
68,"Antoine Wright, G-F",TAMU,28,33.5,18.0,6.3-12.7,.494,2.3-5.3,.442,3.1-4.5,.690,69,2005
69,"Bryan Hopkins, G",SMU,25,36.7,17.9,5.7-14.2,.404,2.6-7.6,.347,3.8-5.0,.768,70,2005
70,"Dan Grunfeld, G",STAN,22,33.0,17.9,6.4-12.7,.500,1.3-3.0,.431,3.9-5.2,.748,71,2005
71,"Anthony Winchester, G",WKU,29,33.8,17.9,6.3-12.4,.506,2.5-5.4,.465,2.8-3.4,.828,72,2005
72,"Craig Smith, F",BC,27,34.4,17.9,6.9-13.7,.500,0.1-0.7,.211,4.0-5.9,.690,73,2005
73,"Cortney Scott, F",OAK,30,36.2,17.9,7.3-13.6,.538,0.1-0.3,.250,3.1-5.6,.563,74,2005
74,"Blake Schilb, G",L-IL,30,35.2,17.9,6.5-13.0,.503,1.8-4.8,.368,3.0-3.7,.820,75,2005
75,"Jeremiah Massey, F",KSU,29,31.9,17.9,6.1-12.1,.503,0.0-0.2,.200,5.7-7.1,.805,76,2005
76,"Kennedy Winston, F",ALA,31,34.4,17.8,6.3-13.7,.462,1.9-4.3,.440,3.3-4.3,.773,77,2005
77,"Andre Owens, G",HOU,31,34.7,17.8,5.9-14.7,.399,3.0-8.5,.355,3.1-4.3,.720,78,2005
78,"Ben Jacobson, G",UNI,31,34.0,17.8,6.5-13.4,.490,2.2-4.8,.453,2.5-3.1,.821,79,2005
79,"Pierre Pierce, G",IOWA,20,34.0,17.8,7.0-14.5,.481,1.2-3.7,.315,2.8-5.2,.529,80,2005
80,"Marcus Slaughter, F",SDSU,27,34.1,17.8,6.1-13.0,.469,0.3-1.4,.231,5.2-7.5,.698,81,2005
81,"Ben Reed, G",WMU,31,32.3,17.8,5.9-13.0,.453,2.5-6.0,.412,3.5-4.8,.743,82,2005
82,"Sean Walker, G",TXSO,26,35.5,17.8,4.9-12.3,.399,1.9-4.9,.386,6.0-7.6,.797,83,2005
83,"Lance Allred, C",WEB,29,32.5,17.7,6.4-12.4,.515,0.1-0.2,.600,4.9-6.9,.709,84,2005
84,"Odartey Blankson, F",UNLV,29,31.7,17.7,6.3-13.4,.468,0.7-2.4,.268,4.4-5.3,.832,85,2005
85,"Brion Rush, G",GRAM,25,30.8,17.6,5.9-15.2,.387,2.5-6.8,.365,3.4-4.3,.778,86,2005
86,"Nate Funk, G",CREI,32,30.7,17.6,6.3-12.2,.517,2.0-4.2,.467,3.1-3.7,.824,87,2005
87,"Mardy Collins, G",TEM,29,37.6,17.6,6.4-15.3,.420,1.6-5.8,.275,3.2-5.0,.639,88,2005
88,"Marcellus Sommerville, F",BRAD,28,34.6,17.5,6.0-13.5,.442,1.5-4.2,.368,4.1-5.3,.770,89,2005
89,"Jason Harris, G-F",SAC,27,33.1,17.5,5.3-12.6,.424,1.0-3.3,.300,5.8-7.9,.737,90,2005
90,"Brandon Gay, F",USD,29,27.3,17.4,5.7-11.7,.490,2.0-4.3,.452,4.0-4.8,.848,91,2005
91,"Ed McCants, G",MILW,29,29.6,17.4,5.7-14.3,.396,3.2-8.8,.370,2.8-3.4,.820,92,2005
92,"David Lucas, F",ORST,22,27.9,17.4,6.8-12.6,.540,0.0-0.0,.000,3.7-4.6,.804,93,2005
93,"Curtis Stinson, G",ISU,29,35.5,17.3,6.5-14.7,.443,0.7-2.7,.253,3.6-5.1,.703,94,2005
94,"Allan Ray, G",NOVA,29,31.1,17.3,5.7-12.9,.443,2.7-6.6,.408,3.1-3.8,.827,95,2005
95,"Josh Almanson, F",BGSU,29,32.8,17.2,6.5-11.0,.592,0.9-1.9,.446,3.3-4.0,.828,96,2005
96,"Ricky Woods, F",SELA,32,29.8,17.2,6.6-11.7,.563,0.0-0.1,.250,4.0-6.2,.652,97,2005
97,"Ivan Almonte, F",FIU,30,34.6,17.2,6.3-11.9,.529,0.2-0.7,.318,4.3-6.7,.644,98,2005
98,"David Brooks, G",NIAG,29,34.3,17.1,5.9-14.2,.412,2.6-7.1,.362,2.8-3.8,.752,99,2005
99,"Steven Thomas, F",UTA,28,30.4,17.1,5.5-9.2,.593,0.0-0.0,.000,6.2-8.5,.730,100,2005
100,"Omari Westley, F",CLEV,23,31.3,17.1,5.7-11.3,.502,0.3-1.4,.188,5.5-8.3,.661,101,2005
101,"Robert Hite, G",MIA,28,33.3,17.1,6.1-14.6,.417,2.4-6.4,.374,2.5-2.9,.863,102,2005
102,"Jarius Glenn, G-F",TLSA,29,33.0,17.1,5.9-12.6,.473,0.6-1.7,.347,4.6-5.7,.807,103,2005
103,"Brandon Bass, F",LSU,29,33.5,17.1,6.0-10.7,.560,0.4-0.9,.480,4.7-6.1,.778,104,2005
104,"Ken Tutt, G",ORU,32,36.5,17.0,6.0-13.6,.442,2.5-6.2,.404,2.5-2.9,.862,105,2005
105,"Julius Hodge, G-F",NCST,31,34.3,17.0,5.8-11.7,.497,0.5-1.6,.280,4.9-7.5,.654,106,2005
106,"Ronald Ross, G",TTU,30,34.0,17.0,6.8-12.8,.531,1.2-2.7,.450,2.2-2.9,.767,107,2005
107,"Kevin Nelson, G",CMU,25,29.4,17.0,5.7-14.1,.402,3.1-7.6,.411,2.5-3.2,.765,108,2005
108,"Paul Marigney, G",SMC,24,30.4,17.0,5.6-11.6,.480,2.3-5.3,.437,3.5-4.3,.808,109,2005
109,"Toney Douglas, G",AUB,31,35.6,16.9,5.8-13.6,.424,2.0-5.4,.373,3.4-4.3,.789,110,2005
110,"Ja'Vance Coleman, G",FRES,30,29.5,16.9,5.2-14.3,.366,2.7-8.2,.333,3.7-5.0,.745,111,2005
111,"Chad McKnight, F",MORE,27,31.4,16.9,5.7-9.1,.630,0.0-0.0,.000,5.4-7.1,.764,112,2005
112,"Jamar Wilson, G",ALBY,27,37.1,16.9,4.9-11.3,.434,1.4-3.4,.398,5.7-6.9,.828,113,2005
113,"Dandrick Jones, G",IDHO,30,32.6,16.8,6.6-15.5,.423,1.0-3.2,.316,2.7-3.9,.686,114,2005
114,"Mitchell Beauford, G",STON,6,34.0,16.8,6.5-13.7,.476,0.5-2.5,.200,3.3-5.2,.645,115,2005
115,"Pele Paelay, G",CCAR,29,32.9,16.8,6.0-13.8,.436,1.4-4.4,.313,3.4-5.0,.681,116,2005
116,"Vedran Vukusic, F",NW,31,35.0,16.8,6.1-12.7,.478,2.2-6.0,.360,2.4-3.2,.765,117,2005
117,"Josh Gomes, G",EIU,28,30.1,16.8,6.1-13.5,.451,1.0-2.7,.373,3.5-4.3,.825,118,2005
118,"Lawrence Roberts, F",MSST,30,31.8,16.7,5.3-11.7,.451,0.4-1.3,.300,5.8-9.0,.647,119,2005
119,"Reggie Golson, F",SEMO,29,32.9,16.7,6.6-12.0,.549,0.0-0.1,.000,3.6-5.3,.665,120,2005
0,"Adam Morrison, F",GONZ,30,36.5,28.4,9.3-18.7,.498,2.3-5.3,.437,7.5-9.6,.775,1,2006
1,"J.J. Redick, G",DUKE,33,37.2,27.4,8.5-17.9,.477,3.8-9.2,.421,6.5-7.4,.877,2,2006
2,"Keydren (Keekee) Clark, G",SPU,32,38.8,26.3,8.5-21.7,.393,3.3-10.1,.326,5.9-6.6,.892,3,2006
3,"Gary Neal, G",TOWS,17,35.3,26.1,8.1-18.2,.445,3.6-9.0,.405,6.2-7.8,.803,4,2006
4,"Andre Collins, G",L-MD,28,38.1,26.1,9.1-22.1,.414,4.2-11.5,.366,3.6-4.0,.902,5,2006
5,"Brion Rush, G",GRAM,21,34.8,25.8,9.0-22.0,.409,2.6-8.2,.312,5.2-6.2,.832,6,2006
6,"Steve Burtt, G",IONA,30,35.5,25.2,8.3-18.6,.445,3.1-7.6,.412,5.5-6.7,.825,7,2006
7,"Quincy Douby, G",RUTG,31,36.7,25.1,8.5-18.7,.455,3.4-8.6,.393,4.6-5.5,.852,8,2006
8,"Rodney Stuckey, G",EWU,30,33.0,24.2,8.3-17.0,.490,1.8-4.9,.372,5.7-7.5,.760,9,2006
9,"Alan Daniels, F",LAM,31,35.1,23.5,8.1-18.5,.436,2.4-8.0,.304,5.0-7.5,.665,10,2006
10,"Trey Johnson, G",JKST,32,34.8,23.5,8.0-17.5,.455,2.1-4.8,.441,5.4-7.3,.750,11,2006
11,"Whit Holcomb-Faye, G",RAD,29,38.2,23.1,7.0-17.6,.395,2.9-8.6,.335,6.3-7.8,.809,12,2006
12,"Larry Blair, G",LIB,30,36.7,22.6,7.8-19.3,.405,2.1-6.0,.356,4.9-6.1,.803,13,2006
13,"Elton Nesbitt, G",GASO,29,31.9,22.1,7.1-16.4,.435,3.5-8.6,.404,4.3-5.4,.803,14,2006
14,"Roy Booker, G",SEMO,27,35.7,22.0,6.6-18.7,.353,2.7-8.6,.313,6.1-7.4,.825,15,2006
15,"Tim Smith, G",ETSU,28,37.7,22.0,8.5-18.9,.448,1.5-4.5,.328,3.6-4.9,.730,16,2006
16,"Morris Almond, F",RICE,28,32.3,21.9,8.0-16.0,.500,1.7-3.9,.444,4.1-5.2,.795,17,2006
17,"Nick Fazekas, F",NEV,32,31.7,21.8,8.1-15.1,.533,1.0-3.2,.307,4.7-5.5,.847,18,2006
18,"J.J. Barea, G",NE,29,33.6,21.0,7.2-18.0,.400,2.3-7.8,.291,4.3-5.7,.764,19,2006
19,"Caleb Green, F",ORU,32,32.2,20.8,6.8-12.8,.530,0.1-0.3,.300,7.1-9.4,.757,20,2006
20,"Leon Powe, F",CAL,26,35.2,20.7,6.7-13.3,.500,0.1-0.3,.333,7.3-10.1,.722,21,2006
21,"Kenny Adeleke, F",HART,28,35.0,20.7,8.0-13.5,.592,0.0-0.0,.000,4.8-8.0,.594,22,2006
22,"Jarrius Jackson, G",TTU,32,38.4,20.5,6.8-15.5,.435,2.3-5.1,.448,4.8-5.8,.813,23,2006
23,"Quinton Day, G",UMKC,27,38.4,20.3,6.9-17.0,.404,2.7-7.3,.372,3.8-4.7,.811,24,2006
24,"John Bowler, F",EMU,28,33.5,20.1,6.8-12.3,.549,0.1-0.3,.286,6.5-9.0,.723,25,2006
25,"Randy Foye, G",NOVA,29,34.1,20.1,6.7-16.2,.415,2.8-7.7,.360,3.9-5.0,.778,26,2006
26,"Brandon Roy, G",WASH,30,31.3,19.9,6.8-13.4,.511,1.1-2.9,.395,5.1-6.3,.814,27,2006
27,"Yemi Nicholson, C",DEN,31,33.5,19.9,7.7-12.7,.603,0.0-0.0,.000,4.5-6.0,.749,28,2006
28,"Dan Oppland, F",VALP,29,34.0,19.8,8.0-15.7,.508,1.2-3.4,.354,2.6-4.2,.628,29,2006
29,"Bryant McAllister, G",DUQ,26,33.6,19.7,6.2-14.5,.423,2.0-5.3,.374,5.4-6.7,.810,30,2006
30,"Steven Smith, F",LAS,28,36.0,19.7,7.4-15.3,.486,0.9-2.8,.338,3.9-5.0,.773,31,2006
31,"Thomas Gardner, G",MIZ,28,34.2,19.7,6.6-15.5,.429,3.4-8.5,.397,3.0-4.2,.720,32,2006
32,"Paul Millsap, F",LT,32,34.2,19.7,7.8-13.8,.569,0.1-0.4,.308,3.8-6.2,.624,33,2006
33,"Kevin Pittsnogle, C",WVU,30,36.1,19.5,7.1-14.7,.485,2.8-6.8,.405,2.5-2.9,.852,34,2006
34,"Curtis Stinson, G",ISU,30,35.6,19.4,7.5-16.4,.455,1.4-4.1,.339,3.1-4.7,.664,35,2006
35,"J.P. Batista, F-C",GONZ,30,32.7,19.3,7.1-12.0,.593,0.1-0.2,.429,5.0-6.1,.825,36,2006
36,"Bruce Price, G",TNST,6,36.5,19.3,4.7-11.3,.412,1.7-5.3,.313,8.3-11.2,.746,37,2006
37,"Obie Trotter, G",AAMU,26,34.0,19.3,6.5-15.6,.419,2.5-6.9,.358,3.7-4.8,.770,38,2006
38,"Kyle Hines, F",UNCG,30,34.0,19.3,8.0-12.8,.622,0.1-0.4,.182,3.3-5.9,.551,39,2006
39,"Quin Humphrey, G",YSU,28,36.9,19.2,6.8-13.6,.496,1.8-4.8,.373,3.9-5.3,.738,40,2006
40,"Kibwe Trim, F-C",SHU,28,32.6,19.2,6.9-11.2,.618,0.0-0.0,.000,5.3-7.9,.674,41,2006
41,"Calvin Wooten, G",OAK,28,33.2,19.2,6.7-15.8,.426,3.4-8.7,.391,2.4-3.0,.795,42,2006
42,"Blake Schilb, G",L-IL,30,34.8,19.1,6.4-13.7,.466,2.3-6.0,.378,4.1-4.9,.830,43,2006
43,"Tyler Hansbrough, F",UNC,29,30.3,19.1,6.4-11.1,.578,0.1-0.1,.667,6.2-8.4,.737,44,2006
44,"D.J. Thompson, G",APP,30,34.6,19.1,5.8-15.3,.382,3.3-8.6,.381,4.1-5.1,.805,45,2006
45,"Maurice Ager, G",MSU,33,34.4,19.1,6.5-14.5,.453,2.4-6.4,.376,3.6-4.7,.761,46,2006
46,"Reggie Williams, F",VMI,27,33.1,19.0,6.4-13.8,.462,1.6-5.1,.317,4.7-6.2,.750,47,2006
47,"Vedran Vukusic, F",NW,28,36.9,19.0,6.8-13.9,.492,2.3-6.3,.360,3.1-4.0,.786,48,2006
48,"Bo McCalebb, G",UNO,4,33.3,19.0,6.3-16.5,.379,0.8-2.5,.300,5.8-8.8,.657,49,2006
49,"Harding Nana, F",DEL,30,35.3,19.0,6.7-14.2,.469,1.5-4.4,.346,4.1-6.4,.641,50,2006
50,"Alando Tucker, F",WIS,30,33.2,19.0,7.2-15.8,.457,0.5-2.2,.239,4.0-7.3,.543,51,2006
51,"George Hill, G",IUPU,29,35.1,18.9,6.0-11.7,.518,0.6-1.7,.320,6.3-7.9,.798,52,2006
52,"Martin Samarco, G",BGSU,29,35.7,18.9,6.0-14.4,.419,3.4-7.6,.457,3.3-3.9,.858,53,2006
53,"Travis Niesen, F",SCU,28,33.8,18.9,6.8-15.1,.450,0.5-1.8,.294,4.8-7.0,.682,54,2006
54,"Allan Ray, G",NOVA,28,32.2,18.8,5.9-14.8,.400,3.4-9.0,.378,3.6-4.1,.895,55,2006
55,"Jared Newson, F",UTM,28,35.0,18.8,6.5-14.3,.453,1.3-3.2,.404,4.6-6.5,.709,56,2006
56,"C.J. Anderson, G-F",MAN,16,37.3,18.8,7.3-14.9,.492,0.1-0.4,.143,4.1-6.9,.600,57,2006
57,"Terrence Todd, G",FAIR,28,32.1,18.8,7.2-15.8,.455,1.0-3.0,.325,3.5-4.3,.808,58,2006
58,"Ricky Hickman, G",UNCG,28,35.2,18.7,6.1-14.4,.421,2.2-6.5,.339,4.4-6.4,.682,59,2006
59,"Quinton Hosley, G-F",FRES,28,35.1,18.6,6.0-14.8,.408,1.7-4.9,.343,4.9-6.5,.749,60,2006
60,"Julien 'Skip' Mills, F",BALL,28,35.3,18.6,6.4-14.1,.452,2.1-6.0,.359,3.8-5.1,.739,61,2006
61,"Ronnie Brewer, G",ARK,31,34.6,18.5,6.3-14.1,.443,1.6-4.8,.338,4.4-5.9,.745,62,2006
62,"Anthony Winchester, G",WKU,30,31.2,18.5,6.5-13.5,.480,2.6-6.3,.407,3.0-4.0,.758,63,2006
63,"Calvin Cage, G",BUFF,32,35.6,18.5,5.6-13.8,.405,2.8-6.8,.410,4.6-5.5,.831,64,2006
64,"Brandon Heath, G",SDSU,32,35.2,18.5,6.2-14.5,.427,3.0-7.2,.411,3.2-3.7,.849,65,2006
65,"Matt Witt, G",EKY,30,33.7,18.5,6.2-14.9,.417,3.2-8.7,.373,2.9-3.6,.804,66,2006
66,"Dontaye Draper, G",COFC,28,35.2,18.5,6.4-14.9,.433,2.2-6.6,.333,3.4-4.7,.733,67,2006
67,"Pooh Jeter, G",PORT,29,36.0,18.5,6.0-14.1,.423,2.0-5.4,.365,4.6-5.3,.869,68,2006
68,"Glen Davis, F",LSU,31,31.5,18.5,7.0-13.7,.509,0.2-0.7,.238,4.3-6.2,.693,69,2006
69,"Justin Gray, G",WAKE,32,35.1,18.4,5.5-15.0,.368,2.9-8.0,.362,4.5-5.4,.831,70,2006
70,"Shelden Williams, F",DUKE,33,32.9,18.4,6.5-11.1,.584,0.1-0.2,.400,5.5-7.4,.735,71,2006
71,"Ibrahim Jaaber, G",PENN,28,36.7,18.4,6.6-12.3,.539,1.9-4.9,.394,3.2-4.4,.726,72,2006
72,"Charron Fisher, G-F",NIAG,19,33.2,18.3,6.0-14.9,.403,1.1-4.5,.233,5.3-7.1,.741,73,2006
73,"Arizona 'AZ' Reid, F",HP,29,33.8,18.3,7.5-15.5,.486,0.6-1.2,.472,2.7-3.8,.700,74,2006
74,"Alain LaRoche, F",UNF,23,35.8,18.2,6.0-12.6,.481,1.2-3.2,.384,4.9-5.6,.868,75,2006
75,"Brandon Polk, F",BUT,31,31.6,18.2,7.1-12.3,.579,0.0-0.1,.000,4.0-6.4,.624,76,2006
76,"Royce Parran, G",CHS,30,34.7,18.0,5.5-13.4,.413,2.3-5.8,.393,4.7-6.2,.762,77,2006
77,"Cartier Martin, F",KSU,28,32.8,18.0,5.8-12.2,.472,1.8-4.2,.427,4.7-5.6,.841,78,2006
78,"Maurice Latham, F",CAMP,28,32.4,18.0,6.5-12.1,.534,0.6-1.9,.346,4.4-5.7,.774,79,2006
79,"Bobby Dixon, G",TROY,29,34.6,17.9,6.1-13.6,.447,3.1-8.2,.380,2.7-3.7,.736,80,2006
80,"Dashaun Wood, G",WRST,28,35.3,17.9,5.9-13.7,.430,0.8-2.9,.272,5.4-6.7,.798,81,2006
81,"Tyrone Nelson, F",NMSU,30,32.9,17.8,6.3-11.4,.551,0.0-0.0,.000,5.2-6.9,.755,82,2006
82,"Jack Leasure, G",CCAR,30,34.7,17.8,6.0-13.7,.438,4.2-9.9,.419,1.7-2.0,.833,83,2006
83,"Ricky Woods, F",SELA,28,33.5,17.8,6.1-12.5,.490,0.0-0.2,.200,5.6-8.8,.634,84,2006
84,"Sean Singletary, G",UVA,28,33.8,17.8,5.8-14.3,.405,1.8-5.1,.354,4.4-5.3,.844,85,2006
85,"Chris Quinn, G",ND,27,39.7,17.8,6.0-13.3,.453,2.5-5.7,.435,3.3-3.7,.881,86,2006
86,"Jason McLeish, G",EKY,29,31.7,17.8,5.8-11.7,.497,2.0-4.1,.479,4.2-5.2,.808,87,2006
87,"Paul Davis, C",MSU,32,30.8,17.8,6.3-11.1,.566,0.2-0.6,.333,5.0-5.7,.874,88,2006
88,"Andre Owens, G",UTSA,27,31.3,17.7,6.7-14.0,.483,1.2-3.7,.327,3.0-4.7,.646,89,2006
89,"Jamar Wilson, G",ALBY,31,34.8,17.7,5.3-11.6,.456,1.5-4.3,.364,5.5-6.5,.847,90,2006
90,"Kevin Hamilton, G",HC,31,36.1,17.6,5.2-13.5,.381,2.0-6.1,.332,5.3-6.8,.777,91,2006
91,"Nick Lewis, F-C",USD,30,30.3,17.6,6.4-12.4,.513,1.5-3.3,.449,3.4-4.3,.792,92,2006
92,"Julian Sensley, F",HAW,27,37.0,17.6,6.4-14.4,.446,1.9-5.4,.340,2.9-4.3,.658,93,2006
93,"J. Robert Merritt, F",SAM,31,37.4,17.6,5.8-12.5,.466,3.9-8.1,.476,2.1-2.6,.813,94,2006
94,"Shannon Brown, G",MSU,33,35.2,17.6,6.1-12.8,.474,1.9-4.9,.391,3.5-4.3,.830,95,2006
95,"Rodney Carney, F",MEM,33,26.9,17.5,6.1-13.8,.440,2.9-7.2,.399,2.5-3.5,.719,96,2006
96,"Daniel Horton, G",MICH,28,34.0,17.5,5.6-12.6,.441,2.1-5.4,.387,4.3-4.6,.938,97,2006
97,"Brandon Cotton, G",DET,29,35.3,17.5,6.3-15.2,.416,1.6-4.1,.375,3.3-4.4,.764,98,2006
98,"Bobby Brown, G",CSF,29,34.9,17.5,6.3-14.7,.426,2.5-6.6,.377,2.5-3.4,.727,99,2006
99,"Ja'Vance Coleman, G",FRES,28,32.6,17.5,5.4-14.1,.385,3.4-8.8,.385,3.3-4.1,.798,100,2006
100,"Ben Woodside, G",NDSU,28,34.4,17.5,5.0-11.5,.432,1.9-4.5,.409,5.7-7.2,.796,101,2006
101,"Steve Novak, F",MARQ,30,33.8,17.5,5.6-11.8,.476,3.9-8.3,.464,2.4-2.5,.973,102,2006
102,"Courtney Lee, G",WKU,30,31.1,17.4,6.0-13.3,.451,2.1-5.1,.408,3.3-3.9,.847,103,2006
103,"Guillermo Diaz, G",MIA,31,35.2,17.4,5.7-13.8,.415,2.3-6.4,.365,3.6-4.5,.793,104,2006
104,"Richard Roby, G",COLO,29,30.3,17.4,5.9-13.7,.427,2.2-5.9,.368,3.5-4.6,.754,105,2006
105,"Craig Smith, F",BC,33,35.6,17.3,6.5-11.3,.579,0.0-0.3,.091,4.2-6.4,.656,106,2006
106,"Chris Lofton, G",TENN,28,31.9,17.3,5.8-12.1,.479,3.8-8.4,.453,2.0-2.1,.917,107,2006
107,"Hassan Adams, G",ARIZ,29,33.5,17.3,7.4-15.8,.470,0.6-2.1,.274,1.9-3.1,.604,108,2006
108,"Darrel Mitchell, G",LSU,31,36.4,17.3,5.7-12.9,.446,2.4-5.9,.410,3.4-4.5,.745,109,2006
109,"Marco Killingsworth, F",IND,29,28.8,17.3,6.8-12.5,.543,0.1-0.7,.200,3.6-5.8,.613,110,2006
110,"Nick Young, G-F",USC,30,33.9,17.3,6.4-13.6,.467,0.8-2.3,.333,3.8-4.7,.801,111,2006
111,"Loren Stokes, G",HOF,30,34.5,17.2,6.9-14.1,.492,0.8-2.3,.348,2.6-4.4,.588,112,2006
112,"Nate Harris, F",USU,31,33.3,17.2,6.7-10.7,.622,0.2-0.6,.389,3.6-4.9,.739,113,2006
113,"Christian Maraker, F",PAC,32,32.9,17.2,6.4-12.7,.501,0.9-2.8,.326,3.6-4.2,.851,114,2006
114,"Coby Karl, G",BSU,29,33.6,17.2,5.2-12.1,.427,2.4-6.1,.395,4.4-5.6,.796,115,2006
115,"Mike Gansey, F",WVU,30,34.1,17.2,6.3-11.3,.559,2.3-5.2,.442,2.2-3.3,.677,116,2006
116,"Delvin Thompson, G",ALCN,28,33.0,17.2,5.7-13.3,.430,1.4-4.9,.292,4.3-6.4,.672,117,2006
117,"J.R. Reynolds, G",UVA,29,33.2,17.2,5.4-13.2,.406,2.1-5.8,.359,4.3-5.5,.788,118,2006
118,"Antoine Jordan, G",SIE,28,36.4,17.1,6.0-12.7,.469,1.2-2.7,.453,4.0-4.9,.818,119,2006
119,"Mike Efevberha, G",CSN,28,27.6,17.1,5.5-14.0,.391,2.0-5.7,.358,4.2-5.1,.824,120,2006
0,"Reggie Williams, F",VMI,33,32.4,28.1,10.2-19.3,.531,2.3-7.2,.319,5.3-8.1,.659,1,2007
1,"Trey Johnson, G",JKST,34,37.8,27.1,8.9-21.5,.415,2.3-6.8,.333,7.0-9.5,.738,2,2007
2,"Morris Almond, F",RICE,32,33.4,26.4,8.2-17.0,.483,2.4-5.3,.456,7.5-8.9,.846,3,2007
3,"Kevin Durant, G-F",TEX,33,35.7,25.6,8.8-18.5,.474,2.4-5.8,.421,5.7-7.0,.810,4,2007
4,"Gary Neal, G",TOWS,32,36.5,25.3,8.3-18.7,.446,2.9-8.7,.335,5.7-6.8,.836,5,2007
5,"Bo McCalebb, G",UNO,31,34.5,25.0,9.3-19.4,.478,0.8-2.5,.333,5.7-8.0,.710,6,2007
6,"Rodney Stuckey, G",EWU,29,33.3,24.6,7.8-17.3,.453,1.5-5.6,.267,7.4-8.8,.846,7,2007
7,"Gerald Brown, G",L-MD,29,35.1,22.2,7.1-16.0,.441,2.0-5.8,.343,6.0-8.1,.748,8,2007
8,"Jaycee Carroll, G",USU,34,35.8,21.3,7.3-13.8,.527,2.4-5.5,.428,4.4-5.0,.888,9,2007
9,"Stephen Curry, G",DAV,33,30.7,21.2,7.1-15.2,.464,3.5-8.6,.411,3.5-4.2,.848,10,2007
10,"Alex Harris, G",UCSB,29,35.1,21.1,6.6-13.8,.476,2.4-5.3,.458,5.4-6.9,.786,11,2007
11,"Adrian Banks, G",ARST,33,36.9,21.1,7.0-14.2,.496,2.9-6.2,.475,4.1-5.5,.732,12,2007
12,"Charron Fisher, G-F",NIAG,25,33.7,21.0,7.1-15.4,.462,1.4-3.8,.379,5.3-7.0,.760,13,2007
13,"Arizona 'AZ' Reid, F",HP,32,33.2,21.0,8.9-17.5,.509,0.6-1.8,.345,2.5-3.8,.659,14,2007
14,"Loren Stokes, G",HOF,32,38.0,20.9,7.4-15.3,.483,1.0-2.5,.383,5.2-7.8,.673,15,2007
15,"Kyle Hines, F",UNCG,29,32.0,20.9,8.0-14.5,.555,0.0-0.2,.167,4.8-7.9,.600,16,2007
16,"Caleb Green, F",ORU,33,34.7,20.8,6.2-12.0,.511,0.2-0.5,.353,8.3-10.8,.765,17,2007
17,"Chris Lofton, G",TENN,28,29.5,20.6,6.5-13.6,.482,3.3-8.0,.417,4.2-5.2,.801,18,2007
18,"Adam Haluska, G",IOWA,31,34.5,20.5,6.1-15.0,.408,2.9-8.0,.363,5.4-6.2,.870,19,2007
19,"Nick Fazekas, F",NEV,30,29.9,20.5,7.9-13.5,.581,0.9-2.0,.458,3.9-4.6,.847,20,2007
20,"Larry Blair, G",LIB,31,33.0,20.4,7.6-17.4,.441,1.7-5.5,.302,3.4-4.0,.847,21,2007
21,"Bobby Brown, G",CSF,27,34.6,20.2,7.0-14.9,.468,3.0-7.6,.388,3.3-4.2,.789,22,2007
22,"Jarrius Jackson, G",TTU,33,38.0,20.2,6.7-15.2,.437,2.3-5.4,.435,4.5-5.8,.789,23,2007
23,"Jason Thompson, F",RID,31,34.1,20.1,7.1-13.7,.520,0.2-0.7,.273,5.7-7.8,.724,24,2007
24,"Dionte Christmas, G",TEM,30,34.3,20.0,6.4-13.7,.466,2.9-7.3,.400,4.3-4.9,.871,25,2007
25,"Al Thornton, F",FSU,32,31.6,20.0,7.0-13.3,.523,1.0-2.3,.446,5.0-6.1,.816,26,2007
26,"Antoine Agudio, G",HOF,32,38.0,20.0,6.8-14.8,.455,3.1-7.2,.428,3.4-4.8,.703,27,2007
27,"Alando Tucker, F",WIS,34,32.6,19.9,7.2-15.2,.476,1.1-3.3,.327,4.3-6.6,.650,28,2007
28,"Brandon Ewing, G",WYO,31,37.0,19.9,6.0-13.6,.440,1.6-5.4,.299,6.3-7.8,.805,29,2007
29,"Dashaun Wood, G",WRST,32,36.2,19.8,6.8-15.7,.437,1.8-4.8,.375,4.4-4.9,.886,30,2007
30,"Martin Samarco, G",BGSU,31,35.9,19.5,6.5-16.3,.395,2.6-7.8,.329,4.0-5.2,.770,31,2007
31,"Mark Tyndale, G",TEM,24,34.2,19.4,6.8-12.7,.539,1.0-2.3,.429,4.7-6.6,.711,32,2007
32,"James Florence, G",MER,28,33.4,19.3,5.8-15.6,.373,2.0-6.5,.301,5.6-7.3,.778,33,2007
33,"Mario Boggan, F-C",OKST,33,32.9,19.2,7.2-13.4,.542,0.4-1.8,.220,4.4-5.8,.758,34,2007
34,"Brandon Heath, G",SDSU,31,36.9,19.2,6.7-16.0,.421,2.6-7.2,.357,3.2-4.2,.754,35,2007
