,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP40M,AST/TO,RK
79,"Denzel Valentine, G",MSU,34,33.3,149,4.4,85,2.5,5.3,1.75,80
80,"Julius Brown, G",TOL,33,33.3,144,4.4,74,2.2,5.2,1.95,81
81,"Siyani Chambers, G",HARV,29,34.4,126,4.3,69,2.4,5.1,1.83,82
82,"Ron Curry, G",JMU,32,35.5,139,4.3,74,2.3,4.9,1.88,83
83,"DeAndre Mathieu, G",MINN,33,28.4,143,4.3,54,1.6,6.1,2.65,84
84,"Lamonte Bearden, G",BUFF,32,29.3,138,4.3,67,2.1,5.9,2.06,85
85,"Mike Martin, G",UCA,28,33.1,120,4.3,97,3.5,5.2,1.24,86
86,"Andre Smith, G",WIN,32,30.9,137,4.3,61,1.9,5.5,2.25,87
87,"Fred Miller, G",UPST,32,31.8,137,4.3,89,2.8,5.4,1.54,88
88,"Will Cummings, G",TEM,32,34.0,137,4.3,64,2.0,5.0,2.14,89
89,"Codi Miller-McIntyre, G",WAKE,32,31.5,137,4.3,80,2.5,5.4,1.71,90
90,"Xavier Rathan-Mayes, G",FSU,32,34.7,137,4.3,108,3.4,4.9,1.27,91
91,"Kyan Anderson, G",TCU,33,32.0,141,4.3,84,2.5,5.3,1.68,92
92,"Mike Talley, G",EMU,34,29.5,145,4.3,60,1.8,5.8,2.42,93
93,"Madarious Gibbs, G",TXSO,31,38.5,132,4.3,89,2.9,4.4,1.48,94
94,"Jabari Sandifer, G",WIU,28,29.4,119,4.3,61,2.2,5.8,1.95,95
