,Draft_Yr,Pk,Tm,PLAYER,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per_48,BPM,VORP
0,1990,1.0,NJN,Derrick Coleman,Syracuse University,15,781,25903,12884,7232,1985,0.447,0.295,0.769,33.2,16.5,9.3,2.5,64.3,0.119,1.3,21.7
1,1990,2.0,SEA,Gary Payton,Oregon State University,17,1335,47117,21813,5269,8966,0.466,0.317,0.729,35.3,16.3,3.9,6.7,145.5,0.148,3.3,63.0
2,1990,3.0,DEN,Mahmoud Abdul-Rauf,Louisiana State University,9,586,15628,8553,1087,2079,0.442,0.354,0.905,26.7,14.6,1.9,3.5,25.2,0.077,-2.2,-0.7
3,1990,4.0,ORL,Dennis Scott,Georgia Institute of Technology,10,629,17983,8094,1774,1296,0.417,0.397,0.793,28.6,12.9,2.8,2.1,33.4,0.089,-0.4,7.3
4,1990,5.0,CHH,Kendall Gill,University of Illinois at Urbana-Champaign,15,966,29481,12914,4002,2945,0.434,0.3,0.754,30.5,13.4,4.1,3.0,47.8,0.078,0.3,16.9
5,1990,6.0,MIN,Felton Spencer,University of Louisville,12,640,12298,3354,3436,213,0.484,0.0,0.658,19.2,5.2,5.4,0.3,20.9,0.081,-2.6,-1.9
6,1990,7.0,SAC,Lionel Simmons,La Salle University,7,454,13472,5833,2833,1498,0.433,0.305,0.771,29.7,12.8,6.2,3.3,16.9,0.06,0.1,7.2
7,1990,8.0,LAC,Bo Kimble,Loyola Marymount University,3,105,1336,574,162,98,0.386,0.291,0.728,12.7,5.5,1.5,0.9,0.1,0.004,-5.2,-1.1
8,1990,9.0,MIA,Willie Burton,University of Minnesota,8,316,6666,3243,932,393,0.424,0.345,0.786,21.1,10.3,2.9,1.2,9.1,0.065,-2.8,-1.4
9,1990,10.0,ATL,Rumeal Robinson,University of Michigan,6,336,6098,2546,606,1179,0.432,0.344,0.611,18.1,7.6,1.8,3.5,5.2,0.041,-2.2,-0.3
10,1990,11.0,GSW,Tyrone Hill,Xavier University,14,801,22388,7532,6854,647,0.502,0.0,0.643,28.0,9.4,8.6,0.8,56.2,0.12,-1.0,5.7
11,1990,12.0,HOU,Alec Kessler,University of Georgia,4,210,2937,1084,751,81,0.426,0.417,0.744,14.0,5.2,3.6,0.4,2.0,0.033,-6.3,-3.2
12,1990,13.0,LAC,Loy Vaught,University of Michigan,11,689,16993,6984,4881,652,0.504,0.244,0.718,24.7,10.1,7.1,0.9,35.8,0.101,-1.6,1.8
13,1990,14.0,SAC,Travis Mays,University of Texas at Austin,3,115,2964,1273,233,326,0.41,0.362,0.749,25.8,11.1,2.0,2.8,2.4,0.039,-2.6,-0.5
14,1990,15.0,MIA,Dave Jamerson,Ohio University,3,90,594,306,77,61,0.392,0.277,0.86,6.6,3.4,0.9,0.7,0.2,0.018,-5.2,-0.5
15,1990,16.0,MIL,Terry Mills,University of Michigan,11,678,16422,7175,3680,891,0.457,0.384,0.781,24.2,10.6,5.4,1.3,33.3,0.097,-0.7,5.5
16,1990,17.0,NYK,Jerrod Mustaf,University of Maryland,4,179,1902,721,452,99,0.449,0.0,0.648,10.6,4.0,2.5,0.6,1.7,0.043,-4.4,-1.2
17,1990,18.0,SAC,Duane Causwell,Temple University,11,541,9409,2648,2273,243,0.507,0.286,0.618,17.4,4.9,4.2,0.4,15.8,0.081,-1.3,1.6
18,1990,19.0,BOS,Dee Brown,Jacksonville University,12,608,16843,6758,1569,2227,0.436,0.357,0.825,27.7,11.1,2.6,3.7,33.4,0.095,0.6,11.0
