,GP,MPG,TOPG,AP40M,RK_AST,STP40M,PF,RK_STL,BLKP40M,RK_BLK,PTS,FG%,3P%,FT%,RK_SCO,FGA,3PA,FTA,ORPG,DRPG,RP40,RK_REB,PLAYER,TEAM,allstar
90,3.0,29.0,1.33333333333,0.0,121.0,3.22,12.0,64.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Derrico Peck,UMES,False
91,3.0,25.3,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,4.0,5.7,15.3,64.0,Deshawn Freeman,RUTG,False
92,3.0,21.7,1.66666666667,0.0,121.0,4.92,5.0,37.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Deshon Taylor,FRES,False
93,1.0,25.0,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,4.0,8.0,19.2,16.0,Devin Davis,HOU,False
94,2.0,28.5,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,4.5,10.0,20.4,4.0,Devontae Cacok,UNCW,False
95,4.0,23.3,0.5,0.0,121.0,4.3,9.0,49.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Dexter Werner,NDSU,False
96,4.0,31.8,2.25,0.0,121.0,3.46,8.0,24.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Diante Baldwin,UNCG,False
97,3.0,28.0,4.0,0.0,121.0,3.81,4.0,42.0,0.0,121.0,21.3,0.5,0.5,0.778,73.0,13.3,2.0,9.0,0.0,0.0,0.0,121.0,Dikembe Dixson,UIC,False
98,3.0,33.7,5.0,11.1,2.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Dominic Artis,UTEP,False
99,4.0,22.0,0.0,0.0,121.0,0.0,9.0,121.0,3.64,72.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Don MuepoKelly,USA,False
100,3.0,27.3,2.33333333333,0.0,121.0,3.41,3.0,79.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Donovan Mitchell,LOU,False
101,4.0,26.3,2.75,10.7,14.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Donte Thomas,ARST,False
102,3.0,23.0,0.666666666667,0.0,121.0,4.06,8.0,67.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Doug Brooks,VCU,False
103,4.0,27.3,0.0,0.0,121.0,0.0,13.0,121.0,5.5,13.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.0,7.8,14.3,55.0,Drew Eubanks,ORST,False
104,3.0,34.3,3.33333333333,6.6,64.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Dulani Robinson,TXSO,False
105,3.0,26.0,0.0,0.0,121.0,0.0,11.0,121.0,3.59,63.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Duop Reath,LSU,False
106,3.0,21.0,2.33333333333,0.0,121.0,4.44,5.0,90.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Dwayne Pow,NIAG,False
107,4.0,18.0,0.0,0.0,121.0,0.0,12.0,121.0,5.0,65.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Dylan Johns,CSN,False
