,GP,MPG,TOPG,AP40M,RK_AST,STP40M,PF,RK_STL,BLKP40M,RK_BLK,PTS,FG%,3P%,FT%,RK_SCO,FGA,3PA,FTA,ORPG,DRPG,RP40,RK_REB,PLAYER,TEAM,allstar
283,32.5,34.9,2.3889943074,0.0,121.0,2.86,74.5,15.5,0.0,121.0,22.65,0.4275,0.2725,0.754,16.5,18.3,3.0,8.1,2.7,5.7,10.2,65.0,Aubrey Coleman,HOU,False
284,27.0,32.7,3.55555555556,7.3,17.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Aubrey Conerly,JAC,False
285,29.25,31.85,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,19.0,0.471,0.0,0.793,29.0,13.2,0.2,8.3,4.175,5.925,12.675,20.0,Augustine Rubit,USA,False
286,30.0,31.9,2.96666666667,6.1,63.0,2.38,49.0,93.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Austen Rowland,LEH,False
287,33.0,25.7,2.33333333333,6.9,102.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Austin Ainge,BYU,False
288,33.0,29.9,1.72727272727,6.0,90.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Austin Chatman,CREI,False
289,31.5,22.35,0.0,0.0,121.0,0.0,82.5,121.0,3.355,63.5,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Austin Daye,GONZ,False
290,31.0,33.8,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,17.9,0.484,0.373,0.865,67.0,13.4,5.4,3.4,0.0,0.0,0.0,121.0,Austin Freeman,GTWN,False
291,33.0,32.6,1.72727272727,0.0,121.0,2.34,62.0,50.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Austin Hollins,MINN,False
292,28.5,30.65,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,18.4,0.413,0.375,0.843,56.5,13.3,8.1,5.2,0.0,0.0,0.0,121.0,Austin Kenon,VMI,False
293,29.0,18.9,0.0,0.0,121.0,0.0,74.0,121.0,4.67,41.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Austin Lewis,MCNS,False
294,27.0,29.5,0.0,0.0,121.0,0.0,50.0,121.0,4.67,3.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Austin Nichols,MEM,False
295,29.0,21.4,1.89655172414,9.0,71.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Austin Parkinson,PUR,False
296,30.0,34.0,2.13333333333,5.2,95.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Austin Tillotson,COLG,False
297,35.0,31.1,0.0,0.0,121.0,0.0,100.0,121.0,3.85,9.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Austin Witter,NCAT,False
298,34.0,34.1,2.14705882353,5.0,119.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ayinde Ubaka,CAL,False
299,30.5,31.1,1.72096774194,0.0,121.0,2.55,85.5,41.5,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ayron Hardy,JAC,False
300,33.0,29.0,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.4,5.8,12.7,38.0,Aziz N'Diaye,WASH,False
301,31.0,31.3,2.61290322581,0.0,121.0,2.64,90.0,64.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.2,6.0,11.8,37.0,B.B. Waldon,USF,False
302,29.5,26.3,1.45172413793,0.0,121.0,3.145,58.0,62.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,B.J. Banks,SFA,False
303,31.0,26.4,3.32258064516,0.0,121.0,2.99,55.0,72.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,B.J. Haigler,RAD,False
304,34.0,25.6,1.61764705882,0.0,121.0,2.85,69.0,81.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,B.J. Jenkins,MURR,False
305,29.0,24.5,0.0,0.0,121.0,0.0,84.0,121.0,3.1,52.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,B.J. Shearry,UCRV,False
306,25.0,24.5,0.0,0.0,121.0,0.0,79.0,121.0,2.22,118.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Babacar Camara,CSF,False
307,30.0,24.5,0.0,0.0,121.0,0.0,52.0,121.0,3.87,27.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Babatunde Olumuyiwa,UPST,False
308,25.75,25.075,0.0,0.0,121.0,0.0,71.25,121.0,3.95,26.75,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Bamba Fall,SMU,False
309,31.0,26.6,0.0,0.0,121.0,0.0,92.0,121.0,3.2,42.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Bambale Osby,MD,False
310,30.0,29.2,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.9,5.2,11.1,79.0,Barkley Falkner,SHSU,False
311,29.0,34.2,3.27586206897,0.0,121.0,2.14,68.0,88.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Baron Sauls,HBU,False
312,30.0,26.5,2.4,0.0,121.0,2.86,85.0,96.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Barry Hairston,HAMP,False
313,30.0,31.55,2.50669642857,6.0,100.0,2.845,69.5,34.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Bashir Mason,DREX,False
314,33.0,19.4,0.0,0.0,121.0,0.0,88.0,121.0,5.44,20.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,BeeJay Anya,NCST,False
315,32.0,33.4,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,17.8,0.398,0.364,0.745,69.0,14.3,7.9,4.8,0.0,0.0,0.0,121.0,Belton Rivers,TNTC,False
316,30.5,31.45,0.0,0.0,121.0,0.0,83.0,121.0,2.3,64.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.2,6.4,11.05,58.5,Ben Aird,UVU,False
317,28.0,24.9,0.0,0.0,121.0,0.0,72.0,121.0,2.87,69.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ben Devoe,UVU,False
318,32.0,37.0,3.53125,4.9,76.0,2.03,74.0,52.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ben Drayton III,GASO,False
319,31.5,33.85,3.11212121212,5.75,65.0,0.0,0.0,121.0,0.0,121.0,18.8,0.443,0.4285,0.804,56.0,14.15,5.95,4.55,0.0,0.0,0.0,121.0,Ben Gordon,CONN,False
320,33.0,35.3,1.82352941176,5.0,99.0,0.0,0.0,121.0,0.0,121.0,18.5,0.486,0.441,0.814,52.0,11.9,5.8,5.4,0.0,0.0,0.0,121.0,Ben Hansbrough,ND,False
321,31.0,34.0,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,17.8,0.49,0.453,0.821,79.0,13.4,4.8,3.1,0.0,0.0,0.0,121.0,Ben Jacobson,UNI,False
322,27.0,25.0,0.0,0.0,121.0,0.0,86.0,121.0,2.6,69.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ben Lambert,USM,False
323,32.0,18.8,0.0,0.0,121.0,0.0,71.0,121.0,3.52,82.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ben Lawson,WKU,False
324,28.0,30.6,2.14285714286,5.8,100.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ben Luber,PSU,False
325,30.0,29.7,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.5,5.3,10.5,96.0,Ben McCauley,NCST,False
326,31.0,32.3,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,17.8,0.453,0.412,0.743,82.0,13.0,6.0,4.8,0.0,0.0,0.0,121.0,Ben Reed,WMU,False
327,31.0,36.6333333333,2.4623655914,5.1,82.0,2.18333333333,52.3333333333,56.6666666667,0.0,121.0,18.4,0.42,0.3715,0.782,66.0,13.0,6.1,6.7,0.0,0.0,0.0,121.0,Ben Smith,JAC,False
